time,pos,delta
20.43999206,353.4229736,7.012878418
20.45107187,353.2074585,7.013122559
20.46307083,352.9951782,7.015014648
20.47509388,352.783844,7.01461792
20.48702518,352.5701294,7.013061523
20.49898444,352.3544922,7.012969971
20.51101573,352.1379089,7.014038086
20.52300848,351.9241333,7.016357422
20.53496175,351.7125854,7.01663208
20.54603354,351.4993896,7.016906738
20.55807248,351.2824707,7.018218994
20.57001618,351.0653992,7.018157959
20.58201483,350.8514099,7.019317627
20.59400846,350.6394958,7.019744873
20.60602174,350.4281921,7.018676758
20.61799633,350.2127686,7.018066406
20.63000252,349.9962463,7.018493652
20.64198698,349.7804871,7.020751953
20.65300134,349.5684509,7.021850586
20.66498468,349.3574219,7.022033691
20.67702476,349.1413879,7.022735596
20.68900979,348.9243774,7.02331543
20.70102013,348.7087097,7.023803711
20.71302542,348.4964905,7.02520752
20.72500301,348.2855225,7.024841309
20.73699899,348.0725098,7.023132324
20.7480175,347.8565369,7.022857666
20.76003155,347.6405029,7.024230957
20.77207079,347.4263306,7.02645874
20.78409241,347.2140198,7.026672363
20.79607335,347.0006409,7.027374268
20.80808477,346.7833862,7.028381348
20.82003419,346.5657959,7.028778076
20.83208484,346.3521729,7.030456543
20.84304081,346.1408997,7.030700684
20.85505498,345.9290161,7.029266357
20.86707235,345.7141113,7.028442383
20.87908162,345.4977722,7.028991699
20.89107546,345.2821045,7.03125
20.903106,345.0701294,7.032592773
20.91503631,344.85849,7.033050537
20.9270714,344.6417236,7.033843994
20.93897294,344.4244385,7.034454346
20.95008951,344.2092285,7.035125732
20.96217584,343.9970398,7.037200928
20.97417042,343.7857971,7.035980225
20.986993,343.5728455,7.033813477
20.99808886,343.3564148,7.033996582
21.01008844,343.1398926,7.035064697
21.02203935,342.9260864,7.037506104
21.03405313,342.7151184,7.038269043
21.04508678,342.5020752,7.038818359
21.05709414,342.2845764,7.039794922
21.06914599,342.0680542,7.040649414
21.08108088,341.8543091,7.042480469
21.09305481,341.6434326,7.042053223
21.10513046,341.4324341,7.040374756
21.11698427,341.217041,7.039276123
21.12901121,341.0003357,7.03994751
21.14104,340.7845154,7.04208374
21.15209755,340.5724487,7.04385376
21.16406954,340.3615112,7.044219971
21.17611378,340.1453552,7.04486084
21.18807098,339.928009,7.046142578
21.2000229,339.711792,7.047332764
21.21206587,339.4996338,7.048706055
21.22404168,339.2889709,7.047241211
21.23597941,339.0761719,7.044494629
21.24707298,338.859375,7.04473877
21.25905294,338.6427307,7.046051025
21.2710814,338.4285278,7.048828125
21.28299226,338.2174988,7.050140381
21.29506782,338.0050049,7.050231934
21.30706633,337.787384,7.050994873
21.31901133,337.5704651,7.052246094
21.33100606,337.3566895,7.054229736
21.34210327,337.1456909,7.054107666
21.35398509,336.9342957,7.051177979
21.36603108,336.719635,7.049285889
21.37802994,336.5029602,7.050262451
21.3900201,336.2869263,7.053253174
21.40204151,336.0747986,7.055511475
21.41397551,335.8630066,7.055358887
21.42602203,335.6463318,7.055633545
21.43797914,335.4285889,7.056732178
21.44902707,335.2129822,7.058441162
21.46101439,335.000946,7.06060791
21.47302046,334.7898254,7.05758667
21.48497985,334.5772705,7.054046631
21.49702224,334.3613892,7.054077148
21.50902002,334.1445007,7.056060791
21.52108809,333.9305115,7.058929443
21.53307237,333.7200012,7.060119629
21.54403244,333.506897,7.060150146
21.55609731,333.2885132,7.06060791
21.56803047,333.0708313,7.062225342
21.58002327,332.8563538,7.064849854
21.59202879,332.6454163,7.063903809
21.60397964,332.434967,7.060638428
21.61601163,332.219574,7.058624268
21.62801129,332.0031128,7.058929443
21.64000956,331.7862854,7.062561035
21.65109096,331.5744934,7.064575195
21.66310078,331.3634338,7.064361572
21.67507764,331.1468201,7.06427002
21.68706362,330.9286804,7.065490723
21.6990237,330.7124634,7.0675354
21.7111028,330.5002747,7.068969727
21.72307913,330.289917,7.065704346
21.7351584,330.077301,7.062042236
21.74706403,329.8608093,7.061859131
21.75805085,329.6436157,7.063720703
21.77015041,329.4295654,7.06729126
21.78210003,329.2191162,7.067840576
21.79406192,329.0054321,7.0675354
21.8060836,328.7874451,7.068389893
21.81810152,328.570343,7.069793701
21.83007309,328.3567505,7.071685791
21.84202367,328.1462708,7.070831299
21.85401425,327.9356995,7.067626953
21.86513803,327.7205505,7.065124512
21.87714554,327.5036316,7.065673828
21.88898195,327.2878723,7.069274902
21.9010258,327.0765991,7.071411133
21.91302216,326.8656921,7.070800781
21.92503249,326.6495056,7.070892334
21.93703259,326.4312744,7.07232666
21.94900197,326.2151794,7.074035645
21.96002804,326.0034485,7.075012207
21.9720887,325.7928772,7.071380615
21.98402254,325.5802612,7.068115234
21.99603451,325.3638916,7.067596436
22.00800721,325.1466064,7.069274902
22.02001339,324.9327698,7.072479248
22.03202531,324.7226563,7.073242188
22.04400866,324.5085449,7.073394775
22.0559856,324.2904968,7.07434082
22.06707002,324.0732117,7.075653076
22.08002987,323.8587952,7.077514648
22.09099212,323.6490784,7.075531006
22.10300035,323.4385986,7.072387695
22.11498444,323.2231445,7.069976807
22.12703851,323.0061035,7.070495605
22.13907483,322.7906494,7.073791504
